평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수(인쇄),사서수,대출자수,대출권수,도서예산(자료구입비)
2023,LIBTYPE000002,2060111057,구로구립 온누리도서관,서울,구로구,41507,1,4444,14353,24248
2023,LIBTYPE000002,2060141279,남양주시 정약용도서관,경기,남양주시,200162,5.5,27638,414988,205192
2023,LIBTYPE000002,2060141140,남양주시 퇴계원도서관,경기,남양주시,92516,3.5,9430,131047,66288
2023,LIBTYPE000002,2060122022,수성구립 무학숲도서관,대구,수성구,17069,2,6544,79734,13500
2023,LIBTYPE000002,2060122004,수성구립 책숲길도서관,대구,수성구,35503,1,5208,44707,22620
2023,LIBTYPE000002,2060144038,아산시 탕정온샘도서관,충남,아산시,73692,4,9641,231353,88140
2023,LIBTYPE000002,2060148041,양산시립 윤현진도서관,경남,양산시,27899,3,6623,119236,80871
2023,LIBTYPE000002,2060141102,양평 양서친환경도서관,경기,양평군,55349,1,2406,47952,53998
2023,LIBTYPE000002,2060123010,인천광역시 율목도서관,인천,중구,80020,7,2196,53263,80313
2023,LIBTYPE000002,2050121006,해운대도서관 우동분관,부산,해운대구,116117,4,13224,67656,87000
2023,LIBTYPE000002,2050141006,경기여주가남교육도서관,경기,여주시,79835,7,2649,29100,78840
2023,LIBTYPE000002,2050147028,경상북도교육청정보센터,경북,경산시,177749,13,8174,256493,617554
2023,LIBTYPE000002,2060141059,고양시립아람누리도서관,경기,고양시,182022,7,26931,213393,175184
2023,LIBTYPE000002,2060124001,광주광역시립무등도서관,광주,북구,373076,16,11002,228597,317233
2023,LIBTYPE000002,2060124002,광주광역시립사직도서관,광주,남구,253310,4,5979,136264,171479
2023,LIBTYPE000002,2060124003,광주광역시립산수도서관,광주,동구,225230,3,6333,119335,162144
2023,LIBTYPE000002,2060124008,광주남구문화정보도서관,광주,남구,98950,3,5668,87526,65030
2023,LIBTYPE000002,2060147031,구미시립상모정수도서관,경북,구미시,94990,2,4880,101673,64124
2023,LIBTYPE000002,2050122001,국채보상운동기념도서관,대구,중구,505320,13,11540,145095,316949
2023,LIBTYPE000002,2060145011,김제시립도서관금구분관,전북,김제시,27210,2,482,10716,9000
2023,LIBTYPE000002,2060145010,김제시립도서관만경분관,전북,김제시,27971,1,358,4590,10000
2023,LIBTYPE000002,20601110026,내를건너서숲으로도서관,서울,은평구,59044,8,58578,136997,103685
2023,LIBTYPE000002,2050122010,대구2.28기념학생도서관,대구,동구,295358,27,56747,379416,472575
2023,LIBTYPE000002,2050122005,대구광역시립남부도서관,대구,남구,345803,13,10294,254916,86225
2023,LIBTYPE000002,2050122011,대구광역시립달성도서관,대구,달성군,140255,8,5635,190719,216377
2023,LIBTYPE000002,2050122003,대구광역시립동부도서관,대구,동구,327565,14,8751,225281,249178
2023,LIBTYPE000002,2050122009,대구광역시립두류도서관,대구,달서구,294530,11,44096,178474,218400
2023,LIBTYPE000002,2050122008,대구광역시립북부도서관,대구,북구,267541,12,14571,401268,224750
2023,LIBTYPE000002,2050122006,대구광역시립서부도서관,대구,서구,307666,14,8258,186201,229600
2023,LIBTYPE000002,2050122007,대구광역시립수성도서관,대구,수성구,299836,12,12641,331577,217976
2023,LIBTYPE000002,2060111090,동대문구 답십리 도서관,서울,동대문구,107845,10,13993,296697,139442
2023,LIBTYPE000002,2060141081,동두천꿈나무정보도서관,경기,동두천시,150004,4,3786,67252,64797
2023,LIBTYPE000002,2060141120,동탄복합문화센터도서관,경기,화성시,206014,7,30636,608408,171422
2023,LIBTYPE000002,2060145020,무주형설지공군립도서관,전북,무주군,44371,4,7152,14478,34000
2023,LIBTYPE000002,2050121007,부산광역시립구덕도서관,부산,서구,112506,10,6599,122060,159761
2023,LIBTYPE000002,2050121009,부산광역시립구포도서관,부산,북구,270194,16,27690,169580,307540
2023,LIBTYPE000002,2050121012,부산광역시립명장도서관,부산,동래구,160444,11,5070,109855,177880
2023,LIBTYPE000002,2050121005,부산광역시립반송도서관,부산,해운대구,167864,10,3810,74510,134484
2023,LIBTYPE000002,2050121004,부산광역시립부전도서관,부산,부산진구,276085,2,0,0,0
2023,LIBTYPE000002,2050121010,부산광역시립사하도서관,부산,사하구,118687,12,7973,175804,170860
2023,LIBTYPE000002,2050121008,부산광역시립서동도서관,부산,금정구,131402,10,3453,79792,129811
2023,LIBTYPE000002,2050121001,부산광역시립시민도서관,부산,부산진구,714440,28,29613,560889,689501
2023,LIBTYPE000002,2050121011,부산광역시립연산도서관,부산,연제구,130142,10,10000,166935,161835
2023,LIBTYPE000002,2050121002,부산광역시립중앙도서관,부산,중구,296883,23,41477,108309,253115
2023,LIBTYPE000002,2060141267,부천시립별빛마루도서관,경기,부천시,80100,12,22073,370621,271920
2023,LIBTYPE000002,2060141285,부천시립역곡밝은도서관,경기,부천시,9593,0.5,430,14731,78427
2023,LIBTYPE000002,2060143027,생거진천혁신도시도서관,충북,진천군,68984,3,25427,94945,84000
2023,LIBTYPE000002,2060141218,수원시광교푸른숲도서관,경기,수원시,59369,3,24103,229642,81980
2023,LIBTYPE000002,2060146031,순천시립조례호수도서관,전남,순천시,87606,3,4412,44470,52050
2023,LIBTYPE000002,20601110030,어린이청소년국학도서관,서울,종로구,24294,3,1268,27496,61558
2023,LIBTYPE000002,2060123007,인천광역시립수봉도서관,인천,미추홀구,105548,10,3642,59004,80626
2023,LIBTYPE000002,2060123006,인천광역시립영종도서관,인천,중구,107641,9,5457,102138,77930
2023,LIBTYPE000002,2060123001,인천광역시미추홀도서관,인천,남동구,576973,16.5,16502,307733,612499
2023,LIBTYPE000002,2060111047,중곡문화체육센터도서관,서울,광진구,79892,4,12140,172445,79365
2023,LIBTYPE000002,2060111019,중랑구립면목정보도서관,서울,중랑구,103293,6,22947,112097,84576
2023,LIBTYPE000002,2060148033,중리초등복합시설도서관,경남,창원시,110003,1,14685,35713,64993
2023,LIBTYPE000002,2060143029,충주어린이청소년도서관,충북,충주시,31923,3,2650,26667,25307
2023,LIBTYPE000002,2050143016,충청북도중원교육문화원,충북,충주시,69234,11,26465,101114,117478
2023,LIBTYPE000002,2060147026,포항시립동해석곡도서관,경북,포항시,39224,2,1284,15400,18698
